"","X","lon","lat","epiraindiff","epirhdiff","epitdiff","finfwh","finfwf","finfwd","difflower","diffupper","V12"
"7852",12945,-79.6913452148438,39.0419235229492,-9.08545,-3.31189000000001,0.145659999999999,0.8076861,0.7397722,-0.0679139,-20.74884,5.07484,0.00920592284970922
"7853",12946,-79.6434326171875,39.1465797424316,-11.66674,-3.36978000000001,0.20467,0.8024538,0.7327513,-0.0697025,-22.170775,6.493148,0.022578453798701
"7855",12948,-79.547119140625,39.3558807373047,-13.97432,-3.78762,0.405810000000001,0.793089,0.7405405,-0.0525485,-20.394357,8.485689,0.031316933390606
"7856",12949,-79.4987182617188,39.4605331420898,-12.29596,-3.97896,0.487689999999999,0.7941306,0.7397219,-0.0544087,-20.565022,8.828559,0.00411626800469378
"7857",12950,-79.4501953125,39.5651702880859,-11.54924,-3.97427,0.543949999999999,0.7831407,0.7381521,-0.0449886,-19.696841,9.658792,0.0296112088275962
"7858",12951,-79.4014587402344,39.6698150634766,-11.3326,-3.64805,0.303479999999999,0.7816146,0.7228976,-0.058717,-22.51791,9.04393,0.0152309944881992
"7859",12952,-79.3525695800781,39.7744560241699,-11.08468,-3.57952,0.20467,0.7755443,0.6986682,-0.0768761,-25.116249,5.929649,0.00647920363990551
"7860",12953,-79.3035278320312,39.8790893554688,-16.61263,-3.48876,0.301580000000001,0.7674919,0.7061881,-0.0613038,-24.003771,9.222221,0.00484838037469615
"7861",12954,-79.2542724609375,39.9837265014648,-15.046,-3.72552,0.603089999999998,0.7682229,0.7101433,-0.0580796,-22.44651,8.563136,0.00616584357879191
"7862",12955,-79.2048950195312,40.0883483886719,-9.38257,-3.86191000000001,0.702200000000001,0.7656931,0.7207294,-0.0449637000000001,-20.2808,10.25556,0.00481460298469472
"7863",12956,-79.1553344726562,40.1929550170898,-7.25779,-3.58939000000001,0.550990000000002,0.7612039,0.7067696,-0.0544343,-23.23937,10.4039,0.00651995056380628
"7864",12957,-79.1056213378906,40.2975730895996,-6.26479999999999,-3.30428999999999,0.190840000000001,0.749585,0.6913294,-0.0582556,-24.403298,8.988715,0.00513883930049985
"7865",12958,-79.0557250976562,40.4021873474121,-6.49123,-3.42438,0.25102,0.7385284,0.6828365,-0.0556919,-25.23588,10.73176,0.00551366122521557
"7866",12959,-79.0056457519531,40.5067863464355,-6.2763,-3.67215999999999,0.430540000000001,0.734136,0.690898,-0.043238,-23.94895,13.68713,0.00579799118789737
"7867",12960,-78.9553833007812,40.6113777160645,-7.88205,-3.49400000000001,0.473600000000001,0.738873,0.6959646,-0.0429084,-22.51357,12.70333,0.0093837834149042
"7868",12961,-78.9049682617188,40.7159576416016,-8.28805,-3.85434000000001,0.529399999999999,0.7377195,0.6883107,-0.0494087999999999,-24.14824,12.23102,0.0057972004484057
"7869",12962,-78.8544006347656,40.8205413818359,-7.77169000000001,-3.78116,0.543859999999999,0.7329771,0.6693213,-0.0636558,-25.499331,9.520816,0.00549616921811236
"7870",12963,-78.8036193847656,40.925106048584,-3.41907,-3.691,0.600170000000002,0.7301149,0.6700004,-0.0601145,-24.8991,10.07274,0.00514791117360147
"7871",12964,-78.752685546875,41.0296669006348,-5.43215,-3.57439000000001,0.673460000000002,0.7277292,0.6722061,-0.0555230999999999,-22.66499,9.81729,0.00648878124669494
"7872",12965,-78.7015686035156,41.1342163085938,-5.63406999999999,-3.41538,0.717390000000002,0.7169838,0.6686183,-0.0483655,-23.79001,11.53594,0.00594388357470876
"7873",12966,-78.6502685546875,41.2387504577637,-6.42019,-3.31121,0.608460000000001,0.7188909,0.6606233,-0.0582676,-25.92427,11.99803,0.00302621752980059
"7874",12967,-78.5988159179688,41.3432769775391,-7.29296,-3.37183,0.668279999999999,0.7104263,0.6661945,-0.0442317999999999,-23.77297,14.57945,0.00919649506588627
"7875",12968,-78.5471496582031,41.4477958679199,-8.34332000000001,-3.27526,0.675159999999998,0.7179591,0.6566236,-0.0613355,-27.57706,13.26093,0.00170726689150769
"7876",12969,-78.4953002929688,41.5523109436035,-7.82505,-3.07355,0.696750000000002,0.7163215,0.6571568,-0.0591647000000001,-26.70992,13.43508,0.0118980914695967
"7877",12970,-78.4432983398438,41.6568031311035,-7.5733,-2.77489,0.836870000000001,0.730922,0.6597843,-0.0711377,-26.93927,10.57587,0.0149206794582142
"7878",12971,-78.39111328125,41.7612800598145,-6.10911,-2.76129999999999,0.780670000000001,0.7211738,0.6650208,-0.056153,-26.63992,13.99151,0.00414022492920907
"7879",12972,-78.3387145996094,41.8657455444336,-6.87532,-2.79473,0.65643,0.7073012,0.6568713,-0.0504298999999999,-26.62835,16.1141,0.0160516057601043
"7880",12973,-78.2861633300781,41.9702072143555,-6.50136000000001,-2.55411000000001,0.716449999999998,0.7108381,0.6606202,-0.0502179,-26.625,16.17174,0.013962663637308
"7881",12974,-78.2333984375,42.0746536254883,-7.31977,-2.62492,0.744519999999998,0.7115008,0.6575839,-0.0539169,-26.87166,14.95922,0.00951472449640534
"7882",12975,-78.1804809570312,42.1790733337402,-5.55409,-2.61533,0.704080000000001,0.7193955,0.6441479,-0.0752476,-29.70165,11.48794,0.0424601652944858
"7883",12976,-78.1273498535156,42.2834892272949,-3.29703,-2.47068,0.620809999999999,0.6994232,0.6414805,-0.0579427,-28.47601,15.49909,0.00474429485130656
"7884",12977,-78.0740356445312,42.3878898620605,-2.39411999999999,-2.32802,0.55941,0.696576,0.6559729,-0.0406031,-26.25442,18.20446,0.0326972778420114
"7887",12980,-77.9129943847656,42.7009811401367,-2.47721,-2.07996999999999,0.385649999999998,0.6615528,0.6531984,-0.0083544000000001,-21.28268,23.69949,0.041890741803293
"7891",12984,-77.695556640625,43.1182060241699,1.23406,-0.0970300000000037,0.330640000000002,0.6274438,0.592004,-0.0354398,-26.52296,19.22582,0.0128401139183083
"7892",12985,-77.6407165527344,43.222469329834,-0.0686600000000013,0.0187000000000026,0.280349999999999,0.6391441,0.5665765,-0.0725676,-33.20288,13.2897,0.00338510442730211
"7923",13078,-80.350341796875,37.2269325256348,1.31136,-1.53031,0.273829999999998,0.6872009,0.5983855,-0.0888154,-33.74628,10.15432,0.0262074873538012
"7926",13081,-80.2135009765625,37.5405921936035,-0.57385,-1.62004999999999,-0.0347799999999996,0.6996779,0.5918053,-0.1078726,-35.762297,4.365733,0.00796544051760151
"7928",13083,-80.1215209960938,37.7497138977051,-0.391909999999999,-1.75082,-0.0168200000000009,0.7200613,0.5825431,-0.1375182,-37.710713,1.077512,0.0386182484384889
"7929",13084,-80.0753173828125,37.8542900085449,-0.290590000000002,-1.76075999999999,-0.093589999999999,0.7074305,0.5857325,-0.121698,-36.419746,4.332891,0.0133625624941089
"7930",13085,-80.0289306640625,37.9588584899902,-2.31293,-1.41709999999999,0.0531600000000001,0.7339192,0.609625,-0.1242942,-33.100028,1.306761,0.0162143261427943
"7931",13086,-79.982421875,38.0634384155273,-3.62947,-1.44661000000001,0.232060000000002,0.7468067,0.6195679,-0.1272388,-31.7846169,0.7564129,0.00788946376150079
"7932",13087,-79.9357299804688,38.1680145263672,-5.10671,-1.46558999999999,0.401249999999999,0.7347714,0.6427371,-0.0920343,-29.059825,4.548515,0.0101840960241049
"7933",13088,-79.888916015625,38.2725944519043,-6.57895,-1.66181999999999,0.54682,0.7296124,0.6520716,-0.0775408000000001,-26.627171,6.673538,0.00264820316420611
