,X,lon,lat,hist25,fut25,defo25,V12
8529,14030,-76.92385864,42.41886139,96.39861519,98.42221121,2.023596018,0.00676177
8530,14031,-76.86828613,42.52266693,96.85451567,98.52876511,1.674249434,0.008758284
8531,14032,-76.81256104,42.6264534,97.72611652,98.87805292,1.151936396,0.006727632
8532,14033,-76.7565918,42.73022461,97.84865799,98.97390032,1.12524233,0.011866395
8533,14034,-76.70043945,42.83397293,98.0233448,98.97620817,0.952863366,0.034204971
8534,14035,-76.644104,42.93770599,98.05608981,99.09461448,1.038524668,0.027797197
8538,14039,-76.41674805,43.35242081,98.12029129,99.1002249,0.979933609,0.017460268
8539,14040,-76.359375,43.45604324,97.6001573,99.07844392,1.478286619,0.040085447
8546,14047,-75.95214844,44.18074799,97.49858234,98.81350806,1.314925722,0.006466921
8547,14048,-75.89312744,44.28417969,97.95449519,98.91476796,0.960272771,0.014664339
8548,14049,-75.83389282,44.38758469,94.9757767,98.74786246,3.772085759,0.00756128
8549,14050,-75.77444458,44.49095535,97.73042118,99.05976566,1.32934448,0.016525688
8584,14135,-79.10430908,37.69835663,95.86872839,98.25328182,2.384553427,0.013599089
8585,14136,-79.05645752,37.80244827,89.42413126,97.00310654,7.578975278,0.00555212
8586,14137,-79.00842285,37.9065361,89.94840782,97.707829,7.759421183,0.005345892
8587,14138,-78.96026611,38.01062393,94.2141939,98.26601499,4.051821087,0.010994809
8588,14139,-78.91192627,38.11471558,95.96081807,98.6029919,2.642173827,0.028875001
8589,14140,-78.86343384,38.21880341,96.02633562,98.60422292,2.577887293,0.028432945
8591,14142,-78.76599121,38.42698669,95.66575708,98.75017619,3.08441911,0.003976936
8592,14143,-78.71697998,38.53106689,97.29636709,98.94723456,1.650867474,0.010819701
8593,14144,-78.66784668,38.63515854,97.76779245,99.00916423,1.241371786,0.004609621
8594,14145,-78.61856079,38.73924637,98.26891014,99.06722301,0.798312869,0.005928321
8595,14146,-78.5690918,38.8433342,97.86136158,99.0272744,1.165912817,0.005848843
8596,14147,-78.51947021,38.94741821,96.88431388,98.92987016,2.045556277,0.005588606
8597,14148,-78.46966553,39.05150604,97.00348719,98.97849418,1.97500699,0.004445913
8598,14149,-78.41967773,39.15557098,97.32636194,98.92907599,1.602714048,0.007491349
8599,14150,-78.36956787,39.25964355,97.63317639,99.05121245,1.418036061,0.002833087
8600,14151,-78.31924438,39.36371231,96.76236026,99.05949172,2.297131452,0.008764667
8601,14152,-78.26876831,39.46777725,96.47268327,99.07043958,2.597756306,0.002643269
8602,14153,-78.21813965,39.57183075,97.98102188,99.11575335,1.134731464,0.006517567
8603,14154,-78.16732788,39.67588425,97.95450509,99.2216736,1.267168511,0.006636702
8604,14155,-78.11633301,39.77993011,95.17186524,99.22601649,4.054151249,0.002150293
8605,14156,-78.06518555,39.88397217,93.05922275,99.06993846,6.010715709,0.009065959
8606,14157,-78.01385498,39.98800659,90.10113963,98.95439309,8.853253465,0.002911255
8607,14158,-77.96234131,40.09204102,91.89426854,99.09224075,7.197972206,0.005345498
8608,14159,-77.91064453,40.19605255,92.32255458,99.11373962,6.791185044,0.007216552
8609,14160,-77.85879517,40.3000679,93.07935594,99.15340353,6.074047589,0.004790166
8610,14161,-77.8067627,40.40406799,92.39920941,99.12902677,6.72981736,0.005167269
8611,14162,-77.75454712,40.50806427,92.26198082,99.0494579,6.787477082,0.003879413
8612,14163,-77.70214844,40.61203766,91.93947298,99.07702729,7.137554307,0.00863466
8613,14164,-77.64959717,40.71601105,91.4676401,98.88577866,7.418138551,0.004342606
8614,14165,-77.59686279,40.81997681,91.24485827,98.6389346,7.39407633,0.002624779
8615,14166,-77.54391479,40.92392731,93.34189579,98.85554766,5.513651867,0.008146041
8616,14167,-77.49078369,41.02786255,93.95611118,99.06181355,5.10570237,0.006003693
8617,14168,-77.4375,41.13179398,95.50420282,99.10735025,3.603147432,0.007353428
8618,14169,-77.3840332,41.23571014,94.41672199,98.96195861,4.54523662,0.004725469
