,X,lon,lat,epiraindiff,epirhdiff,epitdiff,finfmh,finfmf,finfmd,V12
1118,1564,-89.75256348,43.41184616,0.71524,-3.38819,1.27636,0.4882678,0.332187,-0.1560808,0.009203963
1119,1565,-89.71960449,43.52095795,0.82122,-3.74283,1.28935,0.45446,0.3142787,-0.1401813,0.047913263
1148,1594,-88.70794678,46.68229294,10.67356,-1.88638,1.28258,0.5414271,0.4229466,-0.1184805,0.021350812
1153,1599,-88.52163696,47.22636795,13.79467,-1.52977,1.28516,0.5749093,0.4671822,-0.1077271,0.004434392
1227,1715,-89.56921387,43.4969368,-1.15158,-3.4427,1.30447,0.4603346,0.3159016,-0.144433,0.043711902
1236,1724,-89.26477051,44.47831345,-2.06111,-3.68573,1.27993,0.4735044,0.3183141,-0.1551903,0.007907756
1237,1725,-89.23031616,44.58733368,-0.45766,-3.47843,1.23897,0.4847718,0.3359232,-0.1488486,0.021695286
1247,1735,-88.87817383,45.67706299,5.8183,-2.1516,1.519,0.6356377,0.4634079,-0.1722298,0.028198493
1262,1750,-88.32354736,47.30941772,17.97025,-1.58831,1.27604,0.6073277,0.4838603,-0.1234674,0.024111732
1263,1751,-88.28536987,47.41810989,25.37307,-0.54089,1.10359,0.7508086,0.5813358,-0.1694728,0.038189394
1333,1864,-89.45239258,43.36370087,1.76611,-3.2999,1.32968,0.4683446,0.3288434,-0.1395012,0.015420428
1343,1874,-89.11206055,44.45365906,-2.64955,-3.97879,1.34809,0.4679932,0.3023086,-0.1656846,0.008914955
1344,1875,-89.07730103,44.56263733,-2.06961,-3.70622,1.28158,0.4660283,0.3047511,-0.1612772,0.009367614
1347,1878,-88.97225952,44.88949585,1.33923,-2.47188,1.23799,0.5007845,0.3593679,-0.1414166,0.033793182
1369,1900,-88.16326904,47.28347778,13.99504,-1.34432,1.30352,0.5484755,0.4379972,-0.1104783,0.0423057
1448,2022,-89.02911377,44.21094131,0.72802,-3.87331,1.40693,0.4455115,0.2958386,-0.1496729,0.03783885
1457,2031,-88.71142578,45.19108963,4.32981,-2.15335,1.3004,0.554291,0.4135922,-0.1406988,0.040164857
1561,2178,-88.66497803,44.83917236,-1.99743,-3.32939,1.23344,0.467398,0.323992,-0.143406,0.021064341
1562,2179,-88.62915039,44.94801331,0.31372,-3.30976,1.21062,0.456756,0.3160052,-0.1407508,0.013595137
1563,2180,-88.59313965,45.05685043,3.6965,-3.0232,1.26923,0.4657105,0.3258187,-0.1398918,0.002868112
1564,2181,-88.55703735,45.16567612,5.352,-2.35647,1.3346,0.4724568,0.344515,-0.1279418,0.007127907
1565,2182,-88.52075195,45.27448273,7.07717,-2.12728,1.35129,0.5373475,0.3952933,-0.1420542,0.005893894
1650,2310,-89.1388855,42.85444641,8.25828,-3.5691,1.08939,0.4546511,0.3145049,-0.1401462,0.023045806
1668,2328,-88.51153564,44.81370926,-1.34455,-3.50837,1.29402,0.4541161,0.3205322,-0.1335839,0.028069659
1669,2329,-88.47543335,44.9224968,-0.57883,-3.39456,1.24342,0.4631551,0.3200869,-0.1430682,0.044615582
1670,2330,-88.43914795,45.0312767,2.80496,-3.44178,1.23859,0.4499373,0.3197799,-0.1301574,0.042758083
1671,2331,-88.402771,45.14004898,4.79863,-3.19129,1.30356,0.4578737,0.3297632,-0.1281105,0.031814582
1672,2332,-88.36621094,45.24881363,4.89169,-2.71383,1.33965,0.4775758,0.3483975,-0.1291783,0.026005991
1673,2333,-88.32952881,45.35756302,8.22572,-2.22364,1.38132,0.521554,0.3774495,-0.1441045,0.002825547
1778,2482,-88.21179199,45.22293472,3.88068,-3.26469,1.32927,0.4545479,0.3262294,-0.1283185,0.003950154
1779,2483,-88.17483521,45.33163452,3.08227,-3.07469,1.32337,0.4675176,0.3413687,-0.1261489,0.001768834
1781,2485,-88.10046387,45.5490036,5.74387,-2.3759,1.45376,0.4829867,0.3588155,-0.1241712,0.008242922
1783,2487,-88.02554321,45.76633453,4.62805,-2.33797,1.3394,0.4916907,0.377454,-0.1142367,0.037274808
1784,2488,-87.987854,45.87498093,4.50499,-2.00671,1.39904,0.5178577,0.3898583,-0.1279994,0.044748376
1785,2489,-87.95001221,45.98361206,4.59595,-2.22032,1.38555,0.5446585,0.4021955,-0.142463,0.023517208
1786,2490,-87.91201782,46.09223175,4.89553,-2.01321,1.4289,0.5766673,0.4230315,-0.1536358,0.029056714
1790,2494,-87.75860596,46.52656555,6.66466,-1.63387,1.57886,0.6896934,0.5478773,-0.1418161,0.049941037
1792,2496,-87.68096924,46.74363327,10.84271,-1.76507,1.28787,0.5661535,0.4554328,-0.1107207,0.042149963
1884,2632,-88.05752563,45.19684219,2.06162,-3.8196,1.31674,0.4408923,0.3092625,-0.1316298,0.007618102
1885,2633,-88.02029419,45.30549622,4.78282,-3.53351,1.30261,0.4459954,0.319325,-0.1266704,0.005673842
1886,2634,-87.98291016,45.41413498,3.38637,-3.34378,1.31036,0.4508267,0.3394448,-0.1113819,0.007640167
1889,2637,-87.86987305,45.73999023,5.02121,-2.16263,1.33908,0.4852291,0.3697783,-0.1154508,0.04037146
1890,2638,-87.83187866,45.84857941,2.98532,-2.11705,1.36531,0.5014705,0.3890688,-0.1124017,0.004836488
1891,2639,-87.79376221,45.95716858,4.73772,-2.17901,1.35971,0.5262799,0.4040499,-0.12223,0.042663728
1893,2641,-87.71707153,46.17428589,7.57806,-2.0245,1.41092,0.5798924,0.4318816,-0.1480108,0.004491717
1897,2645,-87.56185913,46.60834503,10.29294,-2.1688,1.32388,0.5974443,0.4820903,-0.115354,0.048064726
1968,2760,-88.69390869,42.77945328,7.2473,-3.48166,1.02554,0.4580419,0.3198244,-0.1382175,0.034465373
1994,2786,-87.75244141,45.60488129,5.40431,-2.5788,1.31932,0.4680459,0.3622434,-0.1058025,0.046982767
1999,2791,-87.56039429,46.14752197,8.13296,-2.11629,1.37184,0.5658367,0.415566,-0.1502707,0.00945295
