"","X","lon","lat","epirainh","epirainf","epiraindiff","epirhh","epirhf","epirhdiff","epiaveth","epiavetf","epiavetdiff","V12"
"7973",13128,-77.8790893554688,42.4526634216309,32.92653,29.75656,-3.16997,77.7901,75.37799,-2.41211,16.89668,17.41991,0.523230000000002,0.0234855329301027
"7974",13129,-77.8251953125,42.556957244873,35.19105,33.30759,-1.88346,75.25382,73.11757,-2.13625,17.12299,17.62277,0.499779999999998,0.0239422285862005
"7976",13131,-77.7168273925781,42.7654914855957,41.7924,37.97307,-3.81933,74.89863,72.69968,-2.19895,17.31667,17.68253,0.365860000000001,0.00123790645059785
"7979",13134,-77.5527954101562,43.0781517028809,30.9662,32.13719,1.17099,59.8614,59.71515,-0.146250000000002,18.35766,18.6682,0.31054,0.0317382231549956
"8012",13228,-80.2191162109375,37.1907081604004,22.00362,20.79963,-1.20399,73.85718,72.23078,-1.6264,15.28829,15.66919,0.3809,0.035813533130991
"8018",13234,-79.9429321289062,37.8176460266113,25.93035,25.59961,-0.330740000000002,72.20821,70.60176,-1.60645,16.12945,16.0654,-0.0640499999999982,0.00257675050998785
"8019",13235,-79.8963928222656,37.9221534729004,26.65277,25.95249,-0.700279999999999,74.12014,72.49428,-1.62586,16.13534,16.00243,-0.132909999999999,0.0156780047080076
"8020",13236,-79.8496704101562,38.0266609191895,26.02066,25.22803,-0.792629999999999,74.09923,72.58886,-1.51037000000001,16.07825,15.97879,-0.0994600000000005,0.0288474997083128
"8021",13237,-79.8027954101562,38.1311721801758,29.97806,26.7817,-3.19636,75.21236,73.68748,-1.52488000000001,16.01106,15.98999,-0.0210699999999999,0.00665676165938578
"8022",13238,-79.7557678222656,38.2356872558594,32.06905,26.20621,-5.86284,76.78629,75.11454,-1.67174999999999,15.8227,16.28723,0.464530000000002,0.00881425040579842
"8023",13239,-79.7085876464844,38.3401870727539,28.77286,22.00923,-6.76363,78.30673,76.2558,-2.05093000000001,15.76873,16.26601,0.497280000000002,0.00182079102099664
"8024",13240,-79.6612548828125,38.4447174072266,24.72168,19.16762,-5.55406,80.5145,78.24414,-2.27036,15.49857,16.37899,0.880420000000001,0.0126714642267984
"8025",13241,-79.61376953125,38.5492286682129,21.9345,17.6419,-4.2926,80.64512,78.13009,-2.51503000000001,15.42631,16.30928,0.88297,0.0254333744131898
"8028",13244,-79.4703063964844,38.8627777099609,24.14601,18.11846,-6.02755,79.29351,76.36948,-2.92403,15.45959,16.09758,0.63799,0.0184632844466108
"8029",13245,-79.4221496582031,38.9672889709473,25.78348,19.62176,-6.16172,81.08725,78.18054,-2.90671,15.44644,16.22596,0.77952,0.00842180829589978
"8032",13248,-79.2767639160156,39.2808265686035,28.21158,17.37951,-10.83207,78.94563,75.39365,-3.55198,15.66344,16.34164,0.678200000000002,0.0131660407936138
"8033",13249,-79.2279663085938,39.3853340148926,28.88067,18.05539,-10.82528,77.83143,74.54942,-3.28201,15.91148,16.48107,0.56959,0.010584902444414
"8034",13250,-79.1790161132812,39.4898300170898,29.24133,18.39292,-10.84841,77.89991,74.58905,-3.31086000000001,15.98256,16.62315,0.64059,0.000996702455701381
"8035",13251,-79.1298828125,39.5943412780762,28.32884,19.13995,-9.18889,79.15679,75.57549,-3.5813,16.04518,16.68754,0.64236,0.00878986179070296
"8036",13252,-79.0806274414062,39.6988372802734,27.45935,19.8455,-7.61385,81.65825,78.21553,-3.44271999999999,15.89037,16.64391,0.753540000000001,0.00344876205789291
"8037",13253,-79.0311584472656,39.8033256530762,27.76162,19.57316,-8.18846,81.32253,77.77955,-3.54298,15.96032,16.624,0.663679999999999,0.00665060736429979
"8038",13254,-78.9815368652344,39.9078140258789,30.72888,21.46394,-9.26494,81.17523,77.6976,-3.47763,16.04578,16.67146,0.625679999999999,0.0103640788395936
"8045",13261,-78.6293640136719,40.6390495300293,32.89855,29.06853,-3.83002,78.69523,75.00002,-3.69520999999999,16.367,17.02546,0.658459999999998,0.00628906054150491
"8046",13262,-78.578369140625,40.7434844970703,35.75423,31.19701,-4.55722,77.86379,74.14627,-3.71751999999999,16.46075,17.02298,0.56223,0.00528278202540378
"8047",13263,-78.5271911621094,40.847900390625,36.45613,32.4161,-4.04003,77.39426,73.86171,-3.53255,16.53532,17.0747,0.539380000000001,0.00511334304410838
"8048",13264,-78.475830078125,40.9523162841797,34.42963,31.74687,-2.68276,77.47404,74.10401,-3.37003,16.5798,17.14925,0.56945,0.0068056369739935
"8049",13265,-78.42431640625,41.0567169189453,36.80768,31.42409,-5.38359,77.79614,74.73357,-3.06256999999999,16.61845,17.26446,0.64601,0.00658347659080505
"8050",13266,-78.3726196289062,41.1611213684082,35.22963,29.66774,-5.56189,78.68816,75.35067,-3.33749,16.62978,17.31672,0.68694,0.00209282404889422
"8051",13267,-78.3207092285156,41.265495300293,32.6856,28.10394,-4.58166,78.53946,75.09638,-3.44308000000001,16.58949,17.32544,0.735949999999999,0.0100597285480859
"8052",13268,-78.2686462402344,41.3698692321777,34.55369,30.59112,-3.96257,77.4713,74.29428,-3.17702,16.56226,17.27883,0.716570000000001,0.00402532670440081
"8053",13269,-78.2164001464844,41.474235534668,44.39469,38.00244,-6.39225,78.23034,75.29504,-2.9353,16.75838,17.30624,0.54786,0.00383088279870236
"8054",13270,-78.1639404296875,41.5785789489746,50.11339,39.54038,-10.57301,79.5038,76.87771,-2.62609,16.71361,17.28657,0.572960000000002,0.0114505810710952
"8055",13271,-78.111328125,41.6829147338867,45.55534,37.75844,-7.7969,80.54442,77.81597,-2.72845000000001,16.50275,17.25679,0.75404,0.00637205868380164
"8056",13272,-78.0585327148438,41.7872352600098,42.48731,35.66792,-6.81939,81.22642,78.55039,-2.67603000000001,16.40107,17.23132,0.830249999999999,0.00702682063988647
"8057",13273,-78.0055541992188,41.891544342041,38.77387,33.50187,-5.27200000000001,81.19044,78.396,-2.79443999999999,16.37398,17.20808,0.834099999999999,0.000138401850897196
"8058",13274,-77.952392578125,41.9958419799805,36.03304,30.6646,-5.36844,80.49568,77.68342,-2.81225999999999,16.43561,17.24449,0.808879999999998,0.0245288594705997
"8059",13275,-77.8990478515625,42.1001167297363,38.02244,32.95732,-5.06512,80.33027,77.51461,-2.81565999999999,16.45894,17.26937,0.81043,0.00597366096940988
"8064",13280,-77.62939453125,42.6212959289551,43.84383,42.95958,-0.884249999999994,76.79688,74.63003,-2.16685,17.03117,17.50597,0.474800000000002,0.0340251273273964
"8065",13281,-77.5749206542969,42.725471496582,40.79427,39.277,-1.51727,75.89229,73.79662,-2.09567,17.09663,17.59891,0.502279999999999,0.00495736301289895
"8066",13282,-77.5202331542969,42.8296432495117,37.12537,35.43168,-1.69369,73.86288,71.53758,-2.3253,17.35454,17.81811,0.463570000000001,0.0400315743772879
"8107",13384,-79.8107299804688,37.7808418273926,25.95362,26.08738,0.133759999999999,73.30084,72.0051,-1.29574,16.00792,15.90618,-0.101739999999998,0.0258910261503971
"8108",13385,-79.7639770507812,37.8852806091309,25.65242,25.44637,-0.206049999999998,73.93842,72.61957,-1.31885,16.05345,15.99167,-0.0617800000000024,0.0235351731462998
"8109",13386,-79.7170715332031,37.9897193908691,26.39493,26.66244,0.267510000000001,74.40109,73.1876,-1.21348999999999,16.07884,15.95409,-0.124749999999999,0.0102659082234098
"8110",13387,-79.6700134277344,38.094165802002,30.11813,29.33861,-0.779520000000002,73.50879,72.28883,-1.21996,16.1239,15.97267,-0.151229999999998,0.0192736014151862
"8111",13388,-79.622802734375,38.1985969543457,31.44441,28.59448,-2.84993,74.7562,73.49642,-1.25978000000001,16.02071,16.04499,0.0242799999999974,0.0047488581412054
"8112",13389,-79.5754089355469,38.3030395507812,29.90666,25.36134,-4.54532,76.01241,74.51807,-1.49434000000001,15.82544,16.28881,0.463370000000001,0.00459834310719032
"8113",13390,-79.5278930664062,38.4074897766113,25.25802,20.10652,-5.1515,77.20731,75.25661,-1.95070000000001,15.68292,16.28904,0.606120000000001,0.00807201434479055
"8114",13391,-79.4801940917969,38.5119361877441,22.03743,17.19989,-4.83754,76.52729,74.35877,-2.16851999999999,15.64521,16.20587,0.56066,0.018544532055202
"8115",13392,-79.4323425292969,38.6163711547852,21.31386,16.94884,-4.36502,75.51508,73.6634,-1.85168,15.5353,16.19709,0.66179,0.000949999773993682
"8116",13393,-79.3843383789062,38.7208213806152,21.85998,17.88228,-3.9777,74.07638,72.40673,-1.66965,15.6021,15.98794,0.38584,0.0206123782830048
"8117",13394,-79.3361511230469,38.8252716064453,22.68386,19.53492,-3.14894,72.98592,71.40124,-1.58467999999999,15.74927,15.82308,0.0738099999999999,0.00380613697661403
